!EXCLAMATION-POINT	ĔKS-klŭ-ˈMĀ-shŭn-POYNT
"CLOSE-QUOTE	ˈKLŌZ-ˈKWŌT
"DOUBLE-QUOTE	ˈDŬ-bŭl-ˈKWŌT
ABDELLA	ĂB-ˈDĔ-lŭ
ABDICATE	ˈĂB-dŭ-KĀT
ABDICATED	ˈĂB-dŭ-KĀ-tŭd
ABDICATES	ˈĂB-dŭ-KĀTS
ABDICATING	ˈĂB-dĭ-KĀ-tĭng
ABDICATION	ĂB-dĭ-ˈKĀ-shŭn
ABDNOR	ˈĂBD-nur
ABDO	ˈĂB-dō
ABDOLLAH	ĂB-ˈDŎ-lŭ
ABDOMEN	ăb-ˈDŌ-mŭn
ABDOMEN(1)	ˈĂB-dŭ-mŭn
ABDOMINAL	ăb-ˈDŎ-mŭ-nŭl
ABDOMINAL(1)	ŭb-ˈDŎ-mŭ-nŭl
ABDUCT	ăb-ˈDŬKT
ABDUCTED	ăb-ˈDŬK-tĭd
ABDUCTED(1)	ŭb-ˈDŬK-tĭd
ABDUCTEE	ăb-DŬK-ˈTĒ
ABDUCTEES	ăb-DŬK-ˈTĒZ
ABDUCTING	ăb-ˈDŬK-tĭng
ABDUCTING(1)	ŭb-ˈDŬK-tĭng
ABDUCTION	ăb-ˈDŬK-shŭn
ABDUCTION(1)	ŭb-ˈDŬK-shŭn
ABDUCTIONS	ăb-ˈDŬK-shŭnz
ABDUCTIONS(1)	ŭb-ˈDŬK-shŭnz
ABDUCTOR	ăb-ˈDŬK-tur
ABDUCTOR(1)	ŭb-ˈDŬK-tur
ABDUCTORS	ăb-ˈDŬK-turz
ABDUCTORS(1)	ŭb-ˈDŬK-turz
ABDUCTS	ăb-ˈDŬKTS
ABDUL	ăb-ˈDO͞OL
ABDULAZIZ	ăb-DO͞O-lŭ-ˈZĒZ
ABDULLA	ŏb-ˈDO͞O-lŭ
ABDULLAH	ĂB-ˈDŬ-lŭ
ABE	ˈĀB
ABED	ŭ-ˈBĔD
ABEDI	ŭ-ˈBĔ-dē
ABEE	ŭ-ˈBĒ
ABEL	ˈĀ-bŭl
ABELA	ŏ-ˈBĔ-lŭ
ABELARD	ˈĂ-bĭ-lurd
ABELE	ŭ-ˈBĔL
ABELES	ŭ-ˈBĔLZ
ABELES(1)	ˈĀ-bŭ-LĒZ
ABELL	ˈĀ-bŭl
ABELLA	ŭ-ˈBĔ-lŭ
ABELN	ˈĂ-bĭln
ABELOW	ˈĂ-bŭ-lō
ABELS	ˈĀ-bŭlz
ABELSON	ˈĂ-bĭl-sŭn
ABEND	ˈĂ-bĕnd
ABEND(1)	ŭ-ˈBĔND
ABENDROTH	ˈĂ-bĭn-drŏth
ABER	ˈĀ-bur
ABERCROMBIE	Ă-bur-ˈKRŎM-bē
ABERDEEN	ˈĂ-bur-DĒN
ABERFORD	ˈĀ-bur-furd
ABERG	ˈĂ-burg
ABERLE	ˈĂ-bur-ŭl
ABERLE(1)	ˈĂ-burl
ABERMIN	ˈĂ-bur-mĭn
ABERNATHY	ˈĂ-bur-NĂ-thē
ABERNETHY	ˈĂ-bur-NĔ-thē
ABERRANT	ă-ˈBĔ-rŭnt
ABERRATION	Ă-bur-ˈĀ-shŭn
ABERRATIONAL	Ă-bur-ˈĀ-shŭ-nŭl
ABERRATIONS	Ă-bur-ˈĀ-shŭnz
ABERT	ˈĂ-burt
ABET	ŭ-ˈBĔT
ABETTED	ŭ-ˈBĔ-tĭd
ABETTING	ŭ-ˈBĔ-tĭng
ABEX	ˈĀ-bĕks
ABEYANCE	ŭ-ˈBĀ-ŭns
ABEYTA	ŏ-ˈBĀ-tŭ
ABHOR	ăb-ˈHŎR
ABHORRED	ŭb-ˈHŎRD
ABHORRENCE	ŭb-ˈHŎ-rŭns
ABHORRENT	ăb-ˈHŎ-rŭnt
ABHORS	ŭb-ˈHŎRZ
ABIAM	ˈĀ-bē-ŭm
ABIAM'S	ˈĀ-bē-ŭmz
ABID	ˈĀ-bĭd
ABIDE	ŭ-ˈBĪD
ABIDED	ŭ-ˈBĪ-dĭd
ABIDES	ŭ-ˈBĪDZ
ABIDING	ŭ-ˈBĪ-dĭng
ABIDJAN	ă-bĭ-ˈJŎN
ABIE	ˈĂ-bē
ABIGAIL	ˈĂ-bŭ-GĀL
ABILA	ŏ-ˈBĒ-lŭ
ABILENE	ˈĂ-bĭ-LĒN
ABILITIES	ŭ-ˈBĬ-lŭ-TĒZ
ABILITY	ŭ-ˈBĬ-lŭ-TĒ
ABIMAEL	Ă-bĭ-ˈMĀL
ABIMAELS	Ă-bĭ-ˈMĀLZ
ABINGDON	ˈĂ-bĭng-dŭn
ABINGTON	ˈĂ-bĭng-tŭn
ABIO	ˈŎ-bē-ō
ABIOLA	Ŏ-bē-ˈŌ-lŭ
ABIOLA'S	Ŏ-bē-ˈŌ-lŭz
ABIOMED	ā-ˈBĒ-ŭ-mĕd
ABIQUIU	ŭ-ˈBĬ-kyo͞o
ABITIBI	Ă-bĭ-ˈTĒ-bē
ABITZ	ˈĂ-bĭts
ABJECT	ˈĂB-jĕkt
ABKHAZIA	ăb-ˈKŎZ-yŭ
ABKHAZIA(1)	ăb-ˈKĂZ-yŭ
ABKHAZIAN	ăb-ˈKŎ-zē-ŭn
ABKHAZIAN(1)	ăb-ˈKĂ-zē-ŭn
ABKHAZIAN(2)	ăb-ˈKŎZ-yŭn
ABKHAZIAN(3)	ăb-ˈKĂZ-yŭn
ABKHAZIANS	ăb-ˈKŎ-zē-ŭnz
ABKHAZIANS(1)	ăb-ˈKĂ-zē-ŭnz
ABLAZE	ŭ-ˈBLĀZ
ABLE	ˈĀ-bŭl
ABLE-BODIED	ˈĀ-bŭl-ˈBŎ-dēd
ABLED	ˈĀ-bŭld
ABLER	ˈĀ-bŭ-lur
ABLER(1)	ˈĀ-blur
ABLES	ˈĀ-bŭlz
ABLEST	ˈĀ-bŭlst
ABLEST(1)	ˈĀ-blŭst
ABLOOM	ŭ-ˈBLO͞OM
ABLY	ˈĀ-blē
ABNEGATION	ĂB-nĕ-ˈGĀ-shŭn
ABNER	ˈĂB-nur
ABNEY	ˈĂB-nē
ABNORMAL	ăb-ˈNŎR-mŭl
ABNORMALITIES	ĂB-nŏr-ˈMĂ-lŭ-tēz
ABNORMALITY	ĂB-nŏr-ˈMĂ-lŭ-tē
ABNORMALLY	ăb-ˈNŎR-mŭ-lē
ABO	ˈŎ-bō
ABO'S	ˈŎ-bōz
ABOARD	ŭ-ˈBŎRD
ABODE	ŭ-ˈBŌD
ABOHALIMA	ă-bŭ-hŭ-ˈLĒ-mŭ
ABOLISH	ŭ-ˈBŎ-lĭsh
ABOLISHED	ŭ-ˈBŎ-lĭsht
ABOLISHES	ŭ-ˈBŎ-lĭ-shĭz
ABOLISHING	ŭ-ˈBŎ-lĭ-shĭng
ABOLITION	Ă-bŭ-ˈLĬ-shŭn
ABOLITIONISM	Ă-bŭ-ˈLĬ-shŭ-NĬ-zŭm
ABOLITIONIST	Ă-bŭ-ˈLĬ-shŭ-nŭst
ABOLITIONISTS	Ă-bŭ-ˈLĬ-shŭ-nŭsts
ABOLITIONISTS(1)	Ă-bŭ-ˈLĬ-shŭ-nŭs
ABOMINABLE	ŭ-ˈBŎ-mŭ-nŭ-bŭl
ABOMINATION	ŭ-BŎ-mŭ-ˈNĀ-shŭn
ABOMINATIONS	ŭ-BŎ-mŭ-ˈNĀ-shŭnz
ABOOD	ŭ-ˈBO͞OD
ABOODI	ŭ-ˈBO͞O-dē
ABOR	ŭ-ˈBŎR
ABORIGINAL	Ă-bur-ˈĬ-jŭ-nŭl
ABORIGINE	Ă-bur-ˈĬ-jŭ-nē
ABORIGINES	Ă-bur-ˈĬ-jŭ-nēz
ABORN	ŭ-ˈBŎRN
ABORT	ŭ-ˈBŎRT
ABORTED	ŭ-ˈBŎR-tĭd
ABORTIFACIENT	ŭ-BŎR-tŭ-ˈFĀ-shŭnt
ABORTIFACIENTS	ŭ-BŎR-tŭ-ˈFĀ-shŭnts
ABORTING	ŭ-ˈBŎR-tĭng
ABORTION	ŭ-ˈBŎR-shŭn
ABORTIONIST	ŭ-ˈBŎR-shŭ-nĭst
ABORTIONISTS	ŭ-ˈBŎR-shŭ-nĭsts
ABORTIONISTS(1)	ŭ-ˈBŎR-shŭ-nĭs
ABORTIONS	ŭ-ˈBŎR-shŭnz
ABORTIVE	ŭ-ˈBŎR-tĭv
ABORTS	ŭ-ˈBŎRTS
ABOTT	ŭ-ˈBŎT
ABOU	ŭ-ˈBO͞O
ABOUD	ŏ-ˈBO͞OD
ABOUHALIMA	Ŏ-bo͞o-hŏ-ˈLĒ-mŭ
ABOUHALIMA'S	Ŏ-bo͞o-hŏ-ˈLĒ-mŭz
ABOUND	ŭ-ˈBOWND
ABOUNDED	ŭ-ˈBOWN-dĭd
ABOUNDING	ŭ-ˈBOWN-dĭng
ABOUNDS	ŭ-ˈBOWNDZ
ABOUT	ŭ-ˈBOWT
ABOUT'S	ŭ-ˈBOWTS
ABOVE	ŭ-ˈBŬV
ABOVE'S	ŭ-ˈBŬVZ
ABOVEBOARD	ŭ-ˈBŬV-BŎRD
ABPLANALP	ˈĂB-plŭ-nălp
ABRA	ˈŎ-brŭ
ABRACADABRA	Ă-brŭ-kŭ-ˈDĂ-brŭ
ABRAHAM	ˈĀ-brŭ-HĂM
ABRAHAMIAN	Ă-brŭ-ˈHĀ-mē-ŭn
ABRAHAMS	ˈĀ-brŭ-HĂMZ
ABRAHAMSEN	ă-brŭ-ˈHĂM-sŭn
ABRAHAMSON	ŭ-ˈBRĂ-hŭm-sŭn
ABRAM	ŭ-ˈBRĂM
ABRAM'S	ˈĀ-brŭmz
ABRAMCZYK	ˈŎ-brŭm-chĭk
ABRAMO	ŏ-ˈBRŎ-mō
ABRAMOVITZ	ŭ-ˈBRŎ-mŭ-vĭts
ABRAMOWICZ	ŭ-ˈBRŎ-mŭ-vĭch
ABRAMOWITZ	ŭ-ˈBRŎ-mŭ-wĭts
ABRAMS	ˈĀ-brŭmz
ABRAMS'S	ˈĀ-brŭm-zĭz
ABRAMSON	ˈĀ-brŭm-sŭn
ABRASION	ŭ-ˈBRĀ-zhŭn
ABRASIONS	ŭ-ˈBRĀ-zhŭnz
ABRASIVE	ŭ-ˈBRĀ-sĭv
ABRASIVES	ŭ-ˈBRĀ-sĭvz
ABRAXA	ŭ-ˈBRĂK-sŭ
ABRAXA'S	ŭ-ˈBRĂK-sŭz
ABRAXAS	ŭ-ˈBRĂK-sŭz
ABREAST	ŭ-ˈBRĔST
ABREGO	ŏ-ˈBRĔ-gō
ABREU	ŭ-ˈBRO͞O
ABRIDGE	ŭ-ˈBRĬJ
ABRIDGED	ŭ-ˈBRĬJD
ABRIDGEMENT	ŭ-ˈBRĬJ-mŭnt
ABRIDGES	ŭ-ˈBRĬ-jŭz
ABRIDGING	ŭ-ˈBRĬ-jĭng
ABRIL	ŭ-ˈBRĬL
ABROAD	ŭ-ˈBRŎD
ABROGATE	ˈĂ-brŭ-GĀT
ABROGATED	ˈĂ-brŭ-GĀ-tĭd
ABROGATING	ˈĂ-brŭ-GĀ-tĭng
ABROGATION	Ă-brŭ-ˈGĀ-shŭn
ABROL	ŭ-ˈBRŌL
ABRON	ŭ-ˈBRŎN
ABRUPT	ŭ-ˈBRŬPT
ABRUPTLY	ŭ-ˈBRŬPT-lē
ABRUPTNESS	ŭ-ˈBRŬPT-nŭs
ABRUTYN	ˈĀ-bro͞o-tĭn
ABRUZZESE	ŏ-bro͞ot-ˈSĀ-zē
ABRUZZO	ŏ-ˈBRO͞O-zō
ABS	ˈĀ-ˈBĒ-ˈĔS
ABS(1)	ˈĂBZ
ABSALOM	ˈĂB-sŭ-lŭm
ABSARAKA	ăb-ˈSŎ-rŭ-kŭ
ABSCAM	ˈĂB-skăm
ABSCESS	ˈĂB-SĔS
ABSCOND	ăb-ˈSKŎND
ABSCONDED	ăb-ˈSKŎN-dŭd
ABSCONDING	ăb-ˈSKŎN-dĭng
ABSCONDS	ăb-ˈSKŎNDZ
ABSECON	ˈĂB-sŭ-kŏn
ABSENCE	ˈĂB-sŭns
ABSENCES	ˈĂB-sŭn-sĭz
ABSENT	ˈĂB-sŭnt
ABSENTEE	ĂB-sŭn-ˈTĒ
ABSENTEEISM	ĂB-sŭn-ˈTĒ-ĭ-zŭm
ABSENTEES	ĂB-sŭn-ˈTĒZ
ABSENTIA	ăb-ˈSĔN-shŭ
ABSHER	ˈĂB-shur
ABSHIER	ˈĂB-shē-ur
ABSHIRE	ˈĂB-SHĪR
ABSINTHE	ˈĂB-sĭnth
ABSO	ˈĂB-sō
ABSOLOM	ˈĂB-sŭ-lŭm
ABSOLUT	ĂB-sŭ-ˈLO͞OT
ABSOLUT'S	ĂB-sŭ-ˈLO͞OTS
ABSOLUTE	ˈĂB-sŭ-LO͞OT
ABSOLUTELY	ĂB-sŭ-ˈLO͞OT-lē
ABSOLUTENESS	ˈĂB-sŭ-LO͞OT-nŭs
ABSOLUTES	ˈĂB-sŭ-LO͞OTS
ABSOLUTION	ĂB-sŭ-ˈLO͞O-shŭn
ABSOLUTISM	ˈĂB-sŭ-LO͞O-TĬ-zŭm
ABSOLUTIST	ăb-sŭ-ˈLO͞O-tĭst
ABSOLVE	ŭb-ˈZŎLV
ABSOLVE(1)	ăb-ˈZŎLV
ABSOLVED	ŭb-ˈZŎLVD
ABSOLVED(1)	ăb-ˈZŎLVD
ABSOLVES	ŭb-ˈZŎLVZ
ABSOLVES(1)	ăb-ˈZŎLVZ
ABSOLVING	ŭb-ˈZŎL-vĭng
ABSOLVING(1)	ăb-ˈZŎL-vĭng
ABSORB	ŭb-ˈZŎRB
ABSORBED	ŭb-ˈZŎRBD
ABSORBENCY	ŭb-ˈZŎR-bŭn-sē
ABSORBENT	ŭb-ˈZŎR-bŭnt
ABSORBER	ŭb-ˈZŎR-bur
ABSORBERS	ŭb-ˈZŎR-burz
ABSORBING	ŭb-ˈZŎR-bĭng
ABSORBS	ŭb-ˈZŎRBZ
ABSORPTION	ŭb-ˈZŎRP-shŭn
ABSORPTION(1)	ŭb-ˈSŎRP-shŭn
ABSTAIN	ŭb-ˈSTĀN
ABSTAIN(1)	ăb-ˈSTĀN
ABSTAINED	ŭb-ˈSTĀND
ABSTAINED(1)	ăb-ˈSTĀND
ABSTAINING	ŭb-ˈSTĀ-nĭng
ABSTAINING(1)	ăb-ˈSTĀ-nĭng
ABSTENTION	ŭb-ˈSTĔN-chŭn
ABSTENTION(1)	ăb-ˈSTĔN-chŭn
ABSTENTIONS	ŭb-ˈSTĔN-chŭnz
ABSTENTIONS(1)	ăb-ˈSTĔN-chŭnz
ABSTINENCE	ˈĂB-stŭ-nŭns
ABSTINENT	ˈĂB-stŭ-nŭnt
ABSTON	ˈĂB-stŭn
ABSTRACT	ăb-ˈSTRĂKT
ABSTRACT(1)	ˈĂB-STRĂKT
ABSTRACTED	ˈĂB-STRĂK-tĭd
ABSTRACTION	ăb-ˈSTRĂK-shŭn
ABSTRACTIONS	ăb-ˈSTRĂK-shŭnz
ABSTRACTS	ˈĂB-străkts
ABSTRUSE	ŭb-ˈSTRO͞OS
ABSURD	ŭb-ˈSURD
ABSURDIST	ŭb-ˈSUR-dĭst
ABSURDITIES	ŭb-ˈSUR-dŭ-tēz
ABSURDITY	ŭb-ˈSUR-dŭ-tē
ABSURDLY	ŭb-ˈSURD-lē
ABT	ˈĂBT
ABT(1)	ˈĀ-ˈBĒ-ˈTĒ
ABTS	ˈĂBTS
ABTS(1)	ˈĀ-ˈBĒ-ˈTĒZ
ABTS(2)	ˈĀ-ˈBĒ-ˈTĒ-ˈĔS
ABU	ˈĂ-bo͞o
ABUDRAHM	ŭ-ˈBŬ-drŭm
ABUELLAH	ŭb-ˈWĔ-lŭ
ABUELLAH'S	ŭb-ˈWĔ-lŭz
ABULADZE	Ă-byo͞o-ˈLĂD-zē
ABUNDANCE	ŭ-ˈBŬN-dŭns
ABUNDANT	ŭ-ˈBŬN-dŭnt
ABUNDANTLY	ŭ-ˈBŬN-dŭnt-lē
ABURTO	ŭ-ˈBO͝OR-TŌ
ABURTO'S	ŭ-ˈBO͝OR-TŌZ
ABUSE	ŭ-ˈBYO͞OS
ABUSE(1)	ŭ-ˈBYO͞OZ
ABUSED	ŭ-ˈBYO͞OZD
ABUSER	ŭ-ˈBYO͞O-zur
ABUSERS	ŭ-ˈBYO͞O-zurz
ABUSES	ŭ-ˈBYO͞O-sĭz
ABUSES(1)	ŭ-ˈBYO͞O-zĭz
ABUSING	ŭ-ˈBYO͞O-zĭng
ABUSIVE	ŭ-ˈBYO͞O-sĭv
ABUT	ŭ-ˈBŬT
ABUTS	ŭ-ˈBŬTS
ABUTTED	ŭ-ˈBŬ-tŭd
ABUTTING	ŭ-ˈBŬ-tĭng
ABUZZ	ŭ-ˈBŬZ
ABYSMAL	ŭ-ˈBĬZ-mŭl
ABYSMALLY	ŭ-ˈBĬZ-mŭ-lē
ABYSS	ŭ-ˈBĬS
ABYSSINIA	ăb-ˈSĬ-NĒ-ŭ
ABYSSINIAN	ăb-ˈSĬ-NĒ-ŭn
ABZUG	ˈĂB-ZŬG
ABZUG(1)	ˈĂB-ZO͝OG
AC	ˈĀ-ˈSĒ
ACA	ˈĂ-kŭ
ACACIA	ŭ-ˈKĀ-shŭ
ACADEME	ˈĂ-kŭ-DĒM
ACADEMIA	Ă-kŭ-ˈDĒ-mē-ŭ
ACADEMIC	Ă-kŭ-ˈDĔ-mĭk
ACADEMICALLY	Ă-kŭ-ˈDĔ-mĭ-klē
ACADEMICIAN	Ă-kŭ-dŭ-ˈMĬ-shŭn
ACADEMICIANS	Ă-kŭ-dŭ-ˈMĬ-shŭnz
ACADEMICIANS(1)	ŭ-KĂ-dŭ-ˈMĬ-shŭnz
ACADEMICS	Ă-kŭ-ˈDĔ-mĭks
ACADEMIES	ŭ-ˈKĂ-dŭ-mēz
ACADEMY	ŭ-ˈKĂ-dŭ-mē
ACADEMY'S	ŭ-ˈKĂ-dŭ-mēz
ACADIA	ŭ-ˈKĀ-dē-ŭ
ACAMPO	ŭ-ˈKŎM-pō
ACAMPORA	ŭ-ˈKĂM-pur-ŭ
ACAMPSIA	ŭ-ˈKĂMPS-yŭ
ACANTHA	ŏ-ˈKŎN-𝘵𝘩ŭ
ACAPULCO	Ă-kŭ-ˈPO͝OL-kō
ACARY	ˈĂ-kur-ē
ACCARDI	ŏ-ˈKŎR-dē
ACCARDO	ŏ-ˈKŎR-dō
ACCEDE	ăk-ˈSĒD
ACCEDED	ăk-ˈSĒ-dĭd
ACCEDES	ăk-ˈSĒDZ
ACCEDING	ăk-ˈSĒ-dĭng
ACCEL	ŭk-ˈSĔL
ACCELERANT	ăk-ˈSĔ-lur-ŭnt
ACCELERANTS	ăk-ˈSĔ-lur-ŭnts
ACCELERATE	ăk-ˈSĔ-lur-ĀT
ACCELERATED	ăk-ˈSĔ-lur-Ā-tĭd
ACCELERATES	ăk-ˈSĔ-lur-ĀTS
ACCELERATING	ăk-ˈSĔ-lur-Ā-tĭng
ACCELERATION	ĂK-SĔ-lur-ˈĀ-shŭn
ACCELERATOR	ăk-ˈSĔ-lur-Ā-tur
ACCELERATORS	ăk-ˈSĔ-lur-Ā-turz
ACCELEROMETER	ăk-SĔ-lur-ˈŎ-mŭ-tur
ACCELEROMETERS	ăk-SĔ-lur-ˈŎ-mŭ-turz
ACCENT	ŭk-ˈSĔNT
ACCENT(1)	ˈĂK-SĔNT
ACCENTED	ˈĂK-sĕn-tĭd
ACCENTING	ˈĂK-sĕn-tĭng
ACCENTS	ˈĂK-sĕnts
ACCENTUATE	ăk-ˈSĔN-cho͞o-āt
ACCENTUATED	ăk-ˈSĔN-cho͞o-Ā-tĭd
